,date,parks,away,home,homewin,etcs,times,day,visit,place,number_audience
279,2018/06/07,문학,삼성,SK,lose,-, 18:30 ,목,삼성,문학,7624
280,2018/06/08,대전,SK,한화,win,-, 18:30 ,금,SK,대전,13000
281,2018/06/09,대전,SK,한화,lose,-, 17:00 ,토,SK,대전,13000
282,2018/06/10,대전,SK,한화,win,-, 17:00 ,일,SK,대전,13000
283,2018/06/12,광주,SK,KIA,win,-, 18:30 ,화,SK,광주,16512
284,2018/06/13,광주,SK,KIA,lose,-, 18:30 ,수,SK,광주,16869
285,2018/06/14,광주,SK,KIA,lose,-, 18:30 ,목,SK,광주,10317
286,2018/06/15,문학,롯데,SK,lose,-, 18:30 ,금,롯데,문학,13204
287,2018/06/16,문학,롯데,SK,lose,-, 17:00 ,토,롯데,문학,23047
288,2018/06/17,문학,롯데,SK,lose,-, 17:00 ,일,롯데,문학,16403
289,2018/06/19,대구,SK,삼성,same,-, 18:30 ,화,SK,대구,4353
290,2018/06/20,대구,SK,삼성,win,-, 18:30 ,수,SK,대구,6594
291,2018/06/21,대구,SK,삼성,lose,-, 18:30 ,목,SK,대구,6243
292,2018/06/22,수원,SK,KT,lose,-, 18:30 ,금,SK,수원,3797
293,2018/06/23,수원,SK,KT,lose,-, 17:00 ,토,SK,수원,9673
294,2018/06/24,수원,SK,KT,win,-, 17:00 ,일,SK,수원,6468
295,2018/06/27,문학,KIA,SK,win,-, 18:30 ,수,KIA,문학,12404
296,2018/06/29,문학,LG,SK,win,-, 18:30 ,금,LG,문학,14054
297,2018/06/30,문학,LG,SK,win,-, 17:00 ,토,LG,문학,19024
298,2018/06/01,사직,한화,롯데,lose,-, 18:30 ,금,한화,사직,13641
299,2018/06/02,사직,한화,롯데,lose,-, 17:00 ,토,한화,사직,25000
300,2018/06/03,사직,한화,롯데,win,-, 17:00 ,일,한화,사직,14408
301,2018/06/05,잠실,한화,LG,win,-, 18:30 ,화,한화,잠실,23934
302,2018/06/06,잠실,한화,LG,lose,-, 14:00 ,수,한화,잠실,23593
303,2018/06/07,잠실,한화,LG,win,-, 18:30 ,목,한화,잠실,20245
304,2018/06/12,고척,한화,넥센,lose,-, 18:30 ,화,한화,고척,9527
305,2018/06/13,고척,한화,넥센,win,-, 18:30 ,수,한화,고척,12756
306,2018/06/14,고척,한화,넥센,lose,-, 18:30 ,목,한화,고척,7656
307,2018/06/15,대전,두산,한화,lose,-, 18:30 ,금,두산,대전,13000
308,2018/06/16,대전,두산,한화,lose,-, 17:00 ,토,두산,대전,13000
309,2018/06/17,대전,두산,한화,win,-, 17:00 ,일,두산,대전,13000
310,2018/06/19,청주,LG,한화,lose,-, 18:30 ,화,LG,청주,10000
311,2018/06/20,청주,LG,한화,win,-, 18:30 ,수,LG,청주,10000
312,2018/06/21,청주,LG,한화,win,-, 18:30 ,목,LG,청주,10000
313,2018/06/22,마산,한화,NC,lose,-, 18:30 ,금,한화,마산,7525
314,2018/06/23,마산,한화,NC,lose,-, 17:00 ,토,한화,마산,9549
315,2018/06/24,마산,한화,NC,lose,-, 17:00 ,일,한화,마산,6136
316,2018/06/26,대전,삼성,한화,lose,-, 18:30 ,화,삼성,대전,7344
317,2018/06/27,대전,삼성,한화,win,-, 18:30 ,수,삼성,대전,8153
318,2018/06/28,대전,삼성,한화,win,-, 18:30 ,목,삼성,대전,9914
319,2018/06/29,대전,롯데,한화,win,-, 18:30 ,금,롯데,대전,13000
320,2018/06/30,대전,롯데,한화,win,-, 17:00 ,토,롯데,대전,11891
321,2018/06/01,잠실,넥센,LG,win,-, 18:30 ,금,넥센,잠실,12385
322,2018/06/02,잠실,넥센,LG,win,-, 17:00 ,토,넥센,잠실,20227
323,2018/06/03,잠실,넥센,LG,win,-, 17:00 ,일,넥센,잠실,15687
324,2018/06/05,고척,두산,넥센,win,-, 18:30 ,화,두산,고척,6655
325,2018/06/06,고척,두산,넥센,lose,-, 14:00 ,수,두산,고척,13731
326,2018/06/07,고척,두산,넥센,lose,-, 18:30 ,목,두산,고척,4108
327,2018/06/08,수원,넥센,KT,lose,-, 18:30 ,금,넥센,수원,3492
328,2018/06/09,수원,넥센,KT,win,-, 17:00 ,토,넥센,수원,10230
